Timestamp,Age (Complete),Gender,Are you employed,Do you invest the money earned or saved or received from family (if not employed currently) ?,Where do you invest? (Select all the apply),Do you get paid in ESOPs (employee stock ownership plan as a part of your CTC)?,"City of work (Write like this - Example: Pune, Maharashtra, India)","Home town (Write like this - Example: Pune, Maharashtra, India)"
3/31/2024 18:58:16,26,Male,No,No,I do not invest,No," Pune, Maharashtra, India"," Pune, Maharashtra, India"
3/31/2024 19:05:51,24,Male,No,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Bonds, Fixed Deposit",,"Chennai, Tamilnadu, India","Ongole, Andhra Pradesh, India"
3/31/2024 19:36:11,25,Male,Yes,Yes,"Mutual Fund, Fixed Deposit, Unit Linked Insurance Plans",No,"Hyderabad, Telangana, India","Hyderabad, Telangana, India"
3/31/2024 19:42:12,24,Male,No,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Fixed Deposit, Public Provident Fund",No,"Chennai, Tamilnadu, India ","Chennai, Tamilnadu, India "
3/31/2024 19:46:52,26,Female,Yes,Yes,"Mutual Fund, Fixed Deposit, Public Provident Fund",No,"Pune, Maharashtra, India","Bhilai, Chhattisgarh, India"
3/31/2024 20:12:38,26,Male,No,Yes,Stocks,No,"Kharagpur, West Bengal India ",Ambikapur Chhattisgarh India 
3/31/2024 20:34:15,30,Male,Yes,Yes,"Stocks, Mutual Fund, Real Estate, Gold/Silver/Platinum",No,"Bengaluru, Karnataka ","Rewa, M.P"
3/31/2024 20:34:39,26,Male,Yes,Yes,Stocks,Yes,Gurgaon ,Gurgaon 
3/31/2024 21:41:09,34,Male,Yes,Yes,"Stocks, Mutual Fund, Fixed Deposit, Public Provident Fund, National Pensions System, Crypto",No,Bangalore ,Nagpur
3/31/2024 23:33:21,26,Female,Yes,Yes,"Stocks, Gold/Silver/Platinum, Fixed Deposit",No,"Nagpur, Maharashtra, India","Nagpur, Maharashtra, India"
3/31/2024 23:38:28,22,Male,Yes,Yes,"Mutual Fund, Gold/Silver/Platinum",No,"Nagpur, Maharshtra, India","Wardha, Maharashtra, India"
3/31/2024 23:41:35,26,Female,Yes,Yes,"Stocks, Gold/Silver/Platinum, Fixed Deposit, Public Provident Fund, Unit Linked Insurance Plans",,"Nagpur,Maharashtra, India","Nagpur, Maharashtra, India"
4/1/2024 0:00:00,28,Male,Yes,Yes,"Stocks, Mutual Fund",No,Nagpur ,Nagpur 
4/1/2024 0:51:48,24,Female,No,Yes,Stocks,No,NA,"Nagpur, Maharashtra, India "
4/1/2024 9:26:02,35,Male,Yes,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Fixed Deposit, National Pensions System",No,Bangalore,Nagpur
4/1/2024 10:25:49,26,Female,Yes,Yes,"Mutual Fund, Real Estate, Gold/Silver/Platinum",No,Mumbai,Nagpur
